uid,kind,title,coverTitle,score,overlap%,status,publisher
"IH-ENG-0241","표지불일치","신사고 기본영어 필수문법편","2027 에듀윌 9급공무원 기본서 영어 문법","0","0","found","좋은책신사고"
"IH-ENG-0610","표지불일치","쎄듀 특급 (단기독해/듣기)","특단 구문독해","0","0","found","쎄듀"
"IH-ENG-0614","표지불일치","Wordly Wise 3000","WORD bridge 3600 STEP3 발전편","0","0","found","해외원서(특목고)"
"IH-ENG-0634","표지불일치","거로보카 (수능·편입 고난도)","고백서: 고급영어백서","0","0","needs_review","기타(보강)"
"IH-ENG-0607","표지불일치","구문현답 (메가 이명학)","메가스터디 고등 영어 1일 1구문","4","0","found","메가스터디북스"
"IH-ENG-0626","표지불일치","Penguin Readers (원서 리딩)","Reading Farm 리딩팜 4","4","0","found","해외원서(특목고)"
"IH-ENG-0226","표지불일치","컨셉 구문독해","EBSi 강의교재 수능개념 영어영역 이아영의 개념부터 시작하는 마법구문독해","7","0","found","좋은책신사고"
"IH-ENG-0229","표지불일치","컨셉 실전독해","A+ 수능 ASAP 아삽 실전독해편 (2010년)","7","0","found","좋은책신사고"
"IH-ENG-0387","표지불일치","컨셉 영어독해 기본모의고사 15회","해커스 수능영어독해 미니 모의고사 12+2회 기본","7","0","found","좋은책신사고"
"IH-ENG-0388","표지불일치","컨셉 영어독해 종합모의고사 15회","EBS 인터넷 수능 영어영역 영어독해연습 1 종합편 (2015년) + 2016 수능실감 쎄듀 EBS 변형 FINAL 독해 모의고사 8회 (2015년)","7","0","found","좋은책신사고"
"IH-ENG-0264","표지불일치","룩북","하루 10분이면 수학 완성 (3단계)","14","0","found","천재교육"
"IH-ENG-0077","표지불일치","I See Grammar 1-4","Brain Reading  3권  초 4","18","0","found","기존마스터후보"
"IH-ENG-0234","표지불일치","영어독해 기본모의고사 15회","해커스 수능영어독해 미니 모의고사 12+2회 기본","28","0","found","좋은책신사고"
"IH-ENG-0236","표지불일치","영어독해 종합모의고사 15회","EBS 인터넷 수능 영어영역 영어독해연습 1 종합편 (2015년) + 2016 수능실감 쎄듀 EBS 변형 FINAL 독해 모의고사 8회 (2015년)","28","0","found","좋은책신사고"
"IH-ENG-0053","표지불일치","그래머 잽 (입문/기본/심화)","능률 그래머존 GRAMMAR ZONE 기본편 1","29","0","found","천재교육"
"IH-ENG-0428","표지불일치","Reading Booster <기본> 영어독해 모의고사 10+2회","해커스 토익 실전 1000제 1 RC Reading (리딩) 문제집","32","14","found","YBM"
"IH-ENG-0422","표지불일치","핵심으로 직진하는 구문비법 <기본>/<핵심>","핵직구 핵심","4","20","found","YBM"
"IH-ENG-0238","표지불일치","그래머 중학 영문법 개념마스터 Lv.1","그래머 마스터 grammar master Level 3 Basic","25","20","found","좋은책신사고"
"IH-ENG-0239","표지불일치","그래머 중학 영문법 문제마스터 Lv.1","그래머 마스터 grammar master Level 3 Basic","25","20","found","좋은책신사고"
"IH-ENG-0471","표지불일치","WORD POT 수능 어휘 빈출어람","Test Your Word Power","28","20","found","YBM"
"IH-ENG-0560","표지불일치","N기출 영어영역 고3 평가원·수능","N기출 선택과목 집중 수능기출 모의고사 22회 수학영역 확률과 통계 (2025년용)","29","20","found","미래엔"
"IH-ENG-0252","표지불일치","초비출 영단어 고교 필수","초초빈출 손바닥 영단어","4","25","found","좋은책신사고"
"IH-ENG-0253","표지불일치","초비출 영단어 수능 필수","초초빈출 손바닥 영단어","4","25","found","좋은책신사고"
"IH-ENG-0232","표지불일치","컨셉 영어듣기 기본모의고사 30회","LISTENING BOOSTER 리스닝 부스터 기본 수능 듣기유형분석 &amp; 영어듣기 모의고사 20회","7","25","found","좋은책신사고"
"IH-ENG-0233","표지불일치","컨셉 영어듣기 유형모의고사 25회","LISTENING BOOSTER 리스닝 부스터 기본 수능 듣기유형분석 &amp; 영어듣기 모의고사 20회","7","25","found","좋은책신사고"
"IH-ENG-0643","표지불일치","GRE 어휘 (Barron's/Manhattan)","Usher iBT TOEFL VOCABULARY 어셔 토플 어휘","7","25","needs_review","해외원서(특목고)"
"IH-ENG-0612","표지불일치","Reading Town (리딩 타운)","Reading Studies for Guitar","10","25","found","기타(보강)"
"IH-ENG-0621","표지불일치","Reading Explorer (NatGeo/Cengage)","Primer 특목고 영어 독해(Reading) (2008년)","10","25","found","해외원서(특목고)"
"IH-ENG-0256","표지불일치","초비출 영단어 중학 발전","무한도전 중학영단어 2 발전","12","25","found","좋은책신사고"
"IH-ENG-0041","표지불일치","이그잼 듣기모의고사 25회 Lv.1","이그잼 Exam 중학 영문법 1500제 Level 1","25","25","found","좋은책신사고"
"IH-ENG-0170","표지불일치","이그잼 듣기모의고사 25회 Lv.3","이그잼 Exam 영문법 1500제 Level 3","25","25","found","좋은책신사고"
"IH-ENG-0231","표지불일치","이그잼 듣기모의고사 25회 Lv.1","이그잼 Exam 영문법 1500제 Level 3","25","25","found","좋은책신사고"
"IH-ENG-0490","표지불일치","N기출 영어영역 고2 전국연합","N기출 수학영역 확률과 통계 세트","25","25","found","미래엔"
"IH-ENG-0050","표지불일치","초빈출 영단어 중학 기본","초초빈출 손바닥 영단어","29","25","found","좋은책신사고"
"IH-ENG-0179","표지불일치","초빈출 영단어 중학 고난도","초초빈출 손바닥 영단어","29","25","found","좋은책신사고"
"IH-ENG-0257","표지불일치","초빈출 영단어 고교 필수","초초빈출 손바닥 영단어","29","25","found","좋은책신사고"
"IH-ENG-0389","표지불일치","초빈출 영단어 수능 필수","초초빈출 손바닥 영단어","29","25","found","좋은책신사고"
"IH-ENG-0020","표지불일치","파닉스 LET'S GO Phonics","똑똑한 하루 Phonics Starter B (알파벳+파닉스2)","32","25","found","천재교육"
"IH-ENG-0035","표지불일치","마더텅 초등영문법 3800제 / 초등영문법 777","2027 마더텅 수능기출문제집 수능&#183;내신 국어 문법 개념 완성 2400제 (2026년)","39","25","found","마더텅"
"IH-ENG-0261","표지불일치","그래머 잽 심화","문제로 개념 잡는 초등 영문법 Grammar, Zap! 심화 2","4","33","found","천재교육"
"IH-ENG-0601","표지불일치","우공비 중등 영어","내신콘서트 중학영어 기출문제집 [1학기 기말고사] - 중2 영어 천재 소영순 (2026년)","4","33","found","천재교육"
"IH-ENG-0413","표지불일치","중학신전영어 서술형 전략이다","중학 실전 영어 서술형이 전략이다 2","11","33","found","키출판사"
"IH-ENG-0015","표지불일치","디딤돌 초등 첫","초등중학년을 위한 첫 역사그림책 시리즈 1~12권세트","12","33","found","디딤돌"
"IH-ENG-0039","표지불일치","리딩 와이즈 Lv.1","세계 역사 이야기 영어 리딩 훈련 고대 1","25","33","found","좋은책신사고"
"IH-ENG-0047","표지불일치","라이팅 와이즈 Lv.1-1","해커스 Updated 토플 라이팅 (Hackers Updated TOEFL WRITING)","25","33","found","좋은책신사고"
"IH-ENG-0048","표지불일치","라이팅 와이즈 Lv.1-2","NEXUS TOEFL iBT WRITING LEVEL 2 넥서스 토플 라이팅 레벨 2","25","33","found","좋은책신사고"
"IH-ENG-0169","표지불일치","리딩 와이즈 Lv.3","세계 역사 이야기 영어 리딩 훈련 고대 1","25","33","found","좋은책신사고"
"IH-ENG-0176","표지불일치","라이팅 와이즈 Lv.3-1","해커스 토플 액츄얼 테스트 라이팅(Hackers TOEFL Actual Test Writing)","25","33","found","좋은책신사고"
"IH-ENG-0177","표지불일치","라이팅 와이즈 Lv.3-2","해커스 토플 액츄얼 테스트 라이팅(Hackers TOEFL Actual Test Writing)","25","33","found","좋은책신사고"
"IH-ENG-0248","표지불일치","라이팅 와이즈 Lv.1-1~3-2","해커스 토플 액츄얼 테스트 라이팅(Hackers TOEFL Actual Test Writing)","25","33","found","좋은책신사고"
"IH-ENG-0396","표지불일치","고공행진 중학영어독해 READING","중학 고공행진(중학 내신 고득점 + 고등학교 공략) 영어 독해 Level 1","28","33","found","키출판사"
"IH-ENG-0403","표지불일치","고공행진 중학영문법 GRAMMAR","중학 고공행진(중학 내신 고득점 + 고등학교 공략) 영문법 Level 1","28","33","found","키출판사"
"IH-ENG-0408","표지불일치","중학영문법 문법이 내신이다","절대로 틀릴 수 없는 중학영문법 내신 4200제 3","28","33","found","키출판사"
"IH-ENG-0409","표지불일치","중학영문법 문법이 쓰기다","절대로 틀릴 수 없는 중학영문법 내신 4200제 3","28","33","found","키출판사"
"IH-ENG-0461","표지불일치","진학사 화이트라벨 영어영역","화이트라벨 서술형 문장완성북","28","33","found","진학사"
"IH-ENG-0548","표지불일치","진학사 블랙라벨 영어영역","블랙라벨 중학 수학 2-1 (2026년)","28","33","found","진학사"
"IH-ENG-0267","표지불일치","초등 영어교과서 파닉스","초등영어 교과서 파닉스 3단계 5학년 과정","29","33","found","천재교육"
"IH-ENG-0550","표지불일치","매3영 1단계 독해","매3영 매일 3단계로 푸는 영어독해 기출 고1","29","33","found","키출판사"
"IH-ENG-0602","표지불일치","한끝 중등 영어","한끝 영어영역 종합실전편 (2019년용)","29","33","found","비상교육"
"IH-ENG-0581","표지불일치","매3영 기출 하프","매3영 기출하프모의고사 : 매일 3단계로 푸는 영어독해 기출하프모의고사","33","33","found","키출판사"
"IH-ENG-0410","표지불일치","고등 서술형 전략이다","고등영어, 서술형이 전략이다","36","33","found","키출판사"
"IH-ENG-0153","표지불일치","디딤돌 듣기는 실전이다","디딤돌 수능영어듣기 실전모의고사 BASIC 20회","39","33","found","디딤돌"
"IH-ENG-0468","표지불일치","Reading Sharp Lv.3","YBM Reading Library Grade 4 패키지","42","33","found","YBM"
"IH-ENG-0034","표지불일치","마더텅 초등영어 받아쓰기·듣기 10회 모의고사","마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년 (2026년)","50","33","found","마더텅"
"IH-ENG-0398","표지불일치","매3영 (중3 단계)","매3영 문장구조 구문독해 : 매일 3단계로 연습하는 영어 문장구조 구문독해","99","33","found","키출판사"
"IH-ENG-0044","표지불일치","그래써 중학 영문법 개념마스터 Lv.1","그래it 중학 영문법 개념+문제 마스터 Level 1","8","40","found","좋은책신사고"
"IH-ENG-0173","표지불일치","그래써 중학 영문법 개념마스터 Lv.3","그래it 중학 영문법 개념+문제 마스터 Level 3","8","40","found","좋은책신사고"
"IH-ENG-0174","표지불일치","그래써 중학 영문법 문제마스터 Lv.3","그래it 중학 영문법 개념+문제 마스터 Level 3","8","40","found","좋은책신사고"
"IH-ENG-0598","표지불일치","동아 백점/셀파 중등 영어","동아 백점 초등 사회 5-2 (2026년)","11","40","found","동아출판"
"IH-ENG-0633","표지불일치","MD 33000 필수어휘 (국내 고난도)","Word Killer 워드 킬러 EBS 인터넷수능 고난도 필수어휘 (2011년)","11","40","needs_review","기타(보강)"
"IH-ENG-0249","표지불일치","별 VOCA 고등 어원 영단어","필독 VOCA 영단어 어원편","15","40","found","좋은책신사고"
"IH-ENG-0594","표지불일치","Bricks (브릭스) Reading/Listening/Phonics","Bricks Listening High Beginner 200-1","35","40","found","사회평론"
"IH-ENG-0204","표지불일치","고득점 중학영어 듣기모의고사 20+2 (레벨 1)","고득점 중학영어듣기 모의고사 20+2 LEVEL 3","36","40","found","YBM"
"IH-ENG-0640","표지불일치","ETS 토익(TOEIC) 기출 보카","ETS 토익 기출보카(VOCA)","36","40","needs_review","ETS"
"IH-ENG-0593","표지불일치","쎄듀 리딩 릴레이 (Reading Relay)","READING RELAY CHALLENGER 1","38","40","found","쎄듀"
"IH-ENG-0571","표지불일치","고등영어 내신 어법 서술형 전략이다","고등영어, 서술형이 전략이다","39","40","found","키출판사"
"IH-ENG-0463","표지불일치","3초보카 고등","3초 보카 VOCA 고등","4","50","found","천재교육"
"IH-ENG-0224","표지불일치","다트 구문독해편","EBSi 강의교재 수능개념 영어영역 주혜연의 해석공식-초심-구문독해편","7","50","found","좋은책신사고"
"IH-ENG-0230","표지불일치","컨셉 유형독해","Reading One 유형독해","7","50","found","좋은책신사고"
"IH-ENG-0623","표지불일치","Unlock (Cambridge)","Cambridge IELTS 20 Academic : Authentic Practice Tests","7","50","found","해외원서(특목고)"
"IH-ENG-0228","표지불일치","리딩 와이즈 Starter/Lv.1","Grammar Wise Starter 그래머 와이즈 스타터","11","50","found","좋은책신사고"
"IH-ENG-0235","표지불일치","영어독해 약점유형 모의고사 20회","LISTENING BOOSTER 리스닝 부스터 기본 수능 듣기유형분석 &amp; 영어듣기 모의고사 20회","11","50","found","좋은책신사고"
"IH-ENG-0386","표지불일치","컨셉 영어듣기 종합모의고사 40회","MP3 수능 영어듣기 모의고사 40회 테이프 (2012년)","11","50","found","좋은책신사고"
"IH-ENG-0641","표지불일치","해커스 토플(TOEFL) 보카","해커스 보카 Hackers Vocabulary","14","50","needs_review","해커스어학연구소"
"IH-ENG-0595","표지불일치","Subject Link (서브젝트 링크)","The Subject Was Roses (서브젝트 워스 로지스)(지역코드1)(한글무자막)(DVD)(DVD-R)","17","50","found","NE능률"
"IH-ENG-0632","표지불일치","Cambridge IELTS / ETS TOEFL","Cambridge IELTS 20 Academic : Authentic Practice Tests","17","50","found","해외원서(특목고)"
"IH-ENG-0459","표지불일치","컨셉 영어듣기 실전모의고사 35회","이 한권으로 끝이다 신경향 수능영어듣기 실전모의고사 35회 테이프","18","50","found","좋은책신사고"
"IH-ENG-0637","표지불일치","Vocabulary for the College-Bound Student","The best preparation for VOCABULARY Level 4","18","50","needs_review","해외원서(특목고)"
"IH-ENG-0582","표지불일치","매3영 어법어휘","매3영 매일 3단계로 푸는 영어 어법&#183;어휘","25","50","found","키출판사"
"IH-ENG-0415","표지불일치","Vocabulary Key","오특초 English Vocabulary &amp; Grammar Book 1~6 패키지","28","50","found","키출판사"
"IH-ENG-0606","표지불일치","쎄듀 빈칸백서","빈칸백서","28","50","found","쎄듀"
"IH-ENG-0251","표지불일치","진짜 고교 영단어 1800","진짜 미국 영단어 그림 사전","29","50","found","좋은책신사고"
"IH-ENG-0546","표지불일치","기출의 바이블 영어영역 독해","수능 기출의 바이블 국어 독서 (2022년)","29","50","found","이투스북"
"IH-ENG-0289","표지불일치","서술형 전략이다 1","중학 실전 영어 서술형이 전략이다 1","32","50","found","키출판사"
"IH-ENG-0290","표지불일치","서술형 전략이다 2","중학 실전 영어 서술형이 전략이다 2","32","50","found","키출판사"
"IH-ENG-0412","표지불일치","서술형 전략이다 3","중학 실전 영어 서술형이 전략이다 3","32","50","found","키출판사"
"IH-ENG-0467","표지불일치","서술형 전략이다","고등영어, 서술형이 전략이다","32","50","found","키출판사"
"IH-ENG-0278","표지불일치","강성태 중학 필수 영문법 1","강성태 영문법 필수편","33","50","found","키출판사"
"IH-ENG-0279","표지불일치","강성태 중학 필수 영문법 2","강성태 영문법 필수편","33","50","found","키출판사"
"IH-ENG-0401","표지불일치","강성태 중학 필수 영문법","강성태 영문법 필수편","33","50","found","키출판사"
"IH-ENG-0407","표지불일치","중학 열공법 (열+공부+문제+대공략)","중학 영문법, 명쾌한 문제 대공략 - 중1","33","50","found","키출판사"
"IH-ENG-0434","표지불일치","부스터 보카 고교 내신","부스터 보카 BOOSTER VOCA (교교내신 편)","33","50","found","YBM"
"IH-ENG-0203","표지불일치","Reading Sharp(리딩샵) Lv.1","READING SHARP 레벨 1","35","50","found","YBM"
"IH-ENG-0464","표지불일치","매3영 수능 기출 (고3)","매3영 고3 : 매일 3단계로 푸는 영어독해 수능기출 고3","37","50","found","키출판사"
"IH-ENG-0578","표지불일치","매3영 유형별 전략 독해","매3영 유형별 전략독해 : 매일 3단계로 푸는 영어독해 유형별 전략독해","37","50","found","키출판사"
"IH-ENG-0580","표지불일치","매3영 고3 수능 기출","매3영 고3 : 매일 3단계로 푸는 영어독해 수능기출 고3","37","50","found","키출판사"
"IH-ENG-0616","표지불일치","Word Smart (Princeton Review)","WORD SMART 2","38","50","found","해외원서(특목고)"
"IH-ENG-0152","표지불일치","디딤돌 구조독해","디딤돌 초등 독해력 5","39","50","found","디딤돌"
"IH-ENG-0439","표지불일치","수능 트레이닝 유형편/모의고사편","수능 트레이닝 유형모의고사편","39","50","found","기존마스터후보"
"IH-ENG-0424","표지불일치","Reading Prime 5","YBM Reading Library Grade 6 패키지","42","50","found","YBM"
"IH-ENG-0390","표지불일치","처음 만나는 수능 구문 (스타터 입문/베이직 기본)","처음 만나는 수능구문 베이직(기본)","45","50","found","천재교육"
"IH-ENG-0391","표지불일치","처음 만나는 수능 어법 (스타터 입문/베이직 기본)","처음 만나는 수능어법 베이직(기본)","45","50","found","천재교육"
"IH-ENG-0157","표지불일치","메가스터디 중학영어 독해 Level 1","메가스터디 중학영어독해 Level 3","46","50","found","메가스터디북스"
"IH-ENG-0586","표지불일치","그래머 존 (Grammar Zone)","그래머존 Grammar Zone 중등 기본","46","50","found","NE능률"
"IH-ENG-0440","표지불일치","마더텅 고등영어듣기 24회 모의고사 고1/고2","마더텅 100% 실전대비 MP3 고교영어듣기 24회 모의고사 1학년 (2026년)","50","50","found","마더텅"
"IH-ENG-0058","표지불일치","기적같은 키즈 리딩 Reading Key","미국교과서 읽는 리딩 Easy 1 AMERiCAN SCHOOL TEXTBOOK Reading KEY","15","60","found","키출판사"
"IH-ENG-0178","표지불일치","별 VOCA 중학 영단어 실력","EBS MY VOCA COACH 중학 실력 (2026년용)","15","60","found","좋은책신사고"
"IH-ENG-0600","표지불일치","해커스 그래머/보카 (수능·내신)","해커스 보카 수능 필수 2000+","18","60","found","해커스어학연구소"
"IH-ENG-0049","표지불일치","별 VOCA 중학 영단어 입문","VOCA VOCA : 공무원 영어 입문을 위한 중학 기초 영단어","19","60","found","좋은책신사고"
"IH-ENG-0597","표지불일치","굿모닝 독해 (Good Morning Reading)","[중고] O.S.T. / Good Morning Vietnam (굿모닝 베트남/수입)","24","60","found","기타(보강)"
"IH-ENG-0481","표지불일치","Grammar/Reading/Listening/Voca POWER","TOEFL (R) Itp Test: Listening, Grammar &amp; Reading (English German Edition)","30","60","found","기존마스터후보"
"IH-ENG-0299","표지불일치","키 중학 영단어 (예비중~중2)","키 중학 영단어 1권 (중학 1, 2학년)","33","60","found","키출판사"
"IH-ENG-0437","표지불일치","Collins Big Cat × EBS ELT","Collins Big Cat - Cats","36","60","found","기존마스터후보"
"IH-ENG-0487","표지불일치","메가스터디 수능기출 올픽 영어영역 독해","2026 수능 대비 메가스터디 수능 기출 올픽 최신 기출 단독판 영어 독해 (2025년)","36","60","found","메가스터디북스"
"IH-ENG-0611","표지불일치","EBS 독해의 기초/올림포스 독해","EBS 고교특강 올림포스 독해의 기본 2 (2024년용)","36","60","found","EBS"
"IH-ENG-0444","표지불일치","메가스터디 수능기출 올픽 영어영역 듣기","2024 수능대비 메가스터디 수능기출 올픽 수학2","39","60","found","메가스터디북스"
"IH-ENG-0014","표지불일치","초등 영어 자습서+평가문제집 (22개정)","초등학교 영어 자습서 &amp; 평가문제집 4-1","40","60","found","동아출판"
"IH-ENG-0457","표지불일치","531 PROJECT 영어 어법·어휘","531 프로젝트 PROJECT 영어 핵심어법을 빠르게 S (Speedy) (2021년용)","40","60","found","이투스북"
"IH-ENG-0195","표지불일치","American School Textbook Listening & Speaking","미국교과서 읽는 리딩 Easy 1 AMERiCAN SCHOOL TEXTBOOK Reading KEY","42","60","found","키출판사"
"IH-ENG-0619","표지불일치","Grammar in Use (Cambridge, Murphy)","Grammar In Use Intermediate : Complete Audio CD","42","60","found","해외원서(특목고)"
"IH-ENG-0590","표지불일치","리스닝튜터/굿모닝 리스닝 (Listening Tutor)","리스닝튜터 Listening Tutor 실전","49","60","found","NE능률"
"IH-ENG-0591","표지불일치","쎄듀 첫단추 (독해/문법/모의)","쎄듀 첫단추 모의고사 문법&#183;어법편","51","60","found","쎄듀"
"IH-ENG-0166","표지불일치","자이스토리 중등 포인트리딩 시리즈 Level 1~4","자이스토리 중등 포인트 리딩 Level 4","53","60","found","수경출판사/자이스토리"
"IH-ENG-0393","표지불일치","중학영어 구문이 독해다","중학 영어 구문이 독해다 1","8","67","found","키출판사"
"IH-ENG-0419","표지불일치","키출판사 중학 영단어","중학 영단어 단어가 읽기다 기본편","8","67","found","키출판사"
"IH-ENG-0573","표지불일치","고등영단어 단어가 읽기다","고등 영단어 단어가 읽기다","8","67","found","키출판사"
"IH-ENG-0227","표지불일치","다트 유형독해 기본편","맨처음 수능 영어 유형독해 기본편 (2nd Edition)","11","67","found","좋은책신사고"
"IH-ENG-0171","표지불일치","컨셉 영어듣기 BASIC","EBSi 2028학년도 강의노트 수능개념 김용지의 용~한마리 영어듣기 Basic (2026년)","14","67","found","좋은책신사고"
"IH-ENG-0154","표지불일치","디딤돌 중학생을 위한","중학생을 위한 베스트 문학 시리즈","15","67","found","디딤돌"
"IH-ENG-0026","표지불일치","1000 English Words","4000 Essential English Words 3, 2/E","24","67","found","기존마스터후보"
"IH-ENG-0032","표지불일치","그래머 클리어 스타터1","그래머 클리어 초등 영문법 완성 세트","29","67","found","동아출판"
"IH-ENG-0033","표지불일치","그래머 클리어 스타터2","그래머 클리어 초등 영문법 완성 세트","29","67","found","동아출판"
"IH-ENG-0042","표지불일치","그래머 와이즈 Lv.1","Grammar Wise 그래머 와이즈 Level 1","29","67","found","좋은책신사고"
"IH-ENG-0052","표지불일치","똑똑한 하루 Listening","똑똑한 하루 수학 6B (2026년)","29","67","found","천재교육"
"IH-ENG-0172","표지불일치","그래머 와이즈 Lv.3","Grammar Wise 그래머 와이즈 Level 3","29","67","found","좋은책신사고"
"IH-ENG-0190","표지불일치","구문이 독해다 (초4)","중학 영어 구문이 독해다 1","29","67","found","키출판사"
"IH-ENG-0191","표지불일치","구문이 독해다 (초5)","중학 영어 구문이 독해다 1","29","67","found","키출판사"
"IH-ENG-0201","표지불일치","단어가 읽기다 (초5)","초등 영단어 단어가 읽기다 LEVEL 2","29","67","found","키출판사"
"IH-ENG-0202","표지불일치","단어가 읽기다 (초6)","초등 영단어 단어가 읽기다 LEVEL 2","29","67","found","키출판사"
"IH-ENG-0205","표지불일치","부스터 보카 어원편","부스터 보카 BOOSTER VOCA (어원 편)","29","67","found","YBM"
"IH-ENG-0213","표지불일치","그래머 클리어 스타터","그래머 클리어 초등 영문법 완성 세트","29","67","found","기존마스터후보"
"IH-ENG-0268","표지불일치","구문이 독해다 (중1)","중학 영어 구문이 독해다 1","29","67","found","키출판사"
"IH-ENG-0269","표지불일치","구문이 독해다 (중2)","중학 영어 구문이 독해다 2","29","67","found","키출판사"
"IH-ENG-0284","표지불일치","문법이 쓰기다 (중1)","초등 영문법 문법이 쓰기다 기본 1","29","67","found","키출판사"
"IH-ENG-0285","표지불일치","문법이 쓰기다 (중2)","초등 영문법 문법이 쓰기다 기본 2","29","67","found","키출판사"
"IH-ENG-0291","표지불일치","단어가 읽기다 (중2)","중학 영단어 단어가 읽기다 실력편","29","67","found","키출판사"
"IH-ENG-0392","표지불일치","구문이 독해다 (중3)","중학 영어 구문이 독해다 3","29","67","found","키출판사"
"IH-ENG-0394","표지불일치","강성태 영독해 속독편","강성태 영어독해 속독편","29","67","found","키출판사"
"IH-ENG-0405","표지불일치","문법이 쓰기다 (중3)","초등 영문법 문법이 쓰기다 기본 1~3권 세트","29","67","found","키출판사"
"IH-ENG-0418","표지불일치","단어가 읽기다 (중3)","중학 영단어 단어가 읽기다 실력편","29","67","found","키출판사"
"IH-ENG-0551","표지불일치","매3영 1단계 어법","매3영 매일 3단계로 푸는 영어 어법&#183;어휘","29","67","found","키출판사"
"IH-ENG-0040","표지불일치","리딩 와이즈 Starter","THIS IS READING Starter 디스 이즈 리딩 스타터 1","32","67","found","좋은책신사고"
"IH-ENG-0309","표지불일치","중학 영어듣기능력평가 완벽대비","EBS 중학 영어듣기 능력평가 완벽대비 중1 (2026년용)","32","67","found","기존마스터후보"
"IH-ENG-0432","표지불일치","WORD POT 기본편","고교내신 WORD POT 워드 포트 기본","32","67","found","YBM"
"IH-ENG-0552","표지불일치","초간단 수능영어 3점문항","초간단 수능영어 3점 문항편 신유형 수능대비 A/B형 (2013년)","32","67","found","YBM"
"IH-ENG-0158","표지불일치","메가스터디 중학영어듣기 모의고사","메가스터디 중학 영어 듣기 모의고사 22회 Level 2","35","67","found","메가스터디북스"
"IH-ENG-0161","표지불일치","Listening Bite Level 1","Listening POP 리스닝 팝 Level 3","35","67","found","미래엔"
"IH-ENG-0208","표지불일치","Reader’s Bank 1-10","리더스뱅크 Reader’s Bank Level 1~5권 세트","35","67","found","기존마스터후보"
"IH-ENG-0420","표지불일치","BOOSTER 구문독해 (개정)","BOOSTER 부스터 구문독해","35","67","found","YBM"
"IH-ENG-0423","표지불일치","BOOSTER 유형독해 (개정)","BOOSTER 부스터 유형독해","35","67","found","YBM"
"IH-ENG-0429","표지불일치","BOOSTER 어법어휘 (개정)","BOOSTER 부스터 어법어휘","35","67","found","YBM"
"IH-ENG-0477","표지불일치","주혜연의 해석공식 논리구조편","EBS 주혜연의 해석공식 논리 구조편","35","67","found","기존마스터후보"
"IH-ENG-0263","표지불일치","처음 만나는 수능 어법 스타터(입문)","처음 만나는 수능구문 스타터(입문)","41","67","found","천재교육"
"IH-ENG-0489","표지불일치","메가스터디 수능기출 올픽 영어영역 어법·어휘","메가스터디 N제 영어영역 어법&#183;어휘 222제","43","67","found","메가스터디북스"
"IH-ENG-0258","표지불일치","처음 만나는 수능 구문 베이직 (기본)","처음 만나는 수능구문 베이직(기본)","45","67","found","천재교육"
"IH-ENG-0259","표지불일치","처음 만나는 수능 구문 스타터 (입문)","처음 만나는 수능구문 스타터(입문)","45","67","found","천재교육"
"IH-ENG-0262","표지불일치","처음 만나는 수능 어법 베이직(기본)","처음 만나는 수능어법 베이직(기본)","45","67","found","천재교육"
"IH-ENG-0218","표지불일치","자이스토리 중등 포인트리딩","자이스토리 중등 포인트 리딩 Level 2","46","67","found","수경출판사/자이스토리"
"IH-ENG-0453","표지불일치","자이스토리 어법어휘 기본","Xistory 자이스토리 영어 어법&#183;어휘 기본 (2026년)","46","67","found","수경출판사/자이스토리"
"IH-ENG-0545","표지불일치","자이스토리 어법어휘 완성","Xistory 자이스토리 영어 어법&#183;어휘 완성 (2026년)","46","67","found","수경출판사/자이스토리"
"IH-ENG-0564","표지불일치","자이스토리 어법어휘 실전","2027 수능대비 Xistory 자이스토리 영어 어법&#183;어휘 실전 (2026년)","46","67","found","수경출판사/자이스토리"
"IH-ENG-0080","표지불일치","가장 쉬운 초등 영어일기 따라 쓰기","가장 쉬운 초등 영어일기 따라쓰기 30일 완성","48","67","found","길벗스쿨"
"IH-ENG-0442","표지불일치","마더텅 고교영문법 3300제","고교영문법 3300제","49","67","found","마더텅"
